case_id,category,title,intended_verdict,structural_ground_truth,scan_condition,image_path,image_sha256,payload_sha256,source_exposure,demo_role,independent_evaluation,note
STR-TMP-SHADOW,structural,Structural tampered / shadow,BLOCKED,tampered,shadow,Structural_Cases/STR-TMP-SHADOW.png,e37422a7abc9b8ea850cfcdb6eda97b2dd18ad3c9b9c292971e16cb0ed1097d9,8fc61f9d29131d211776637ca0b6e4ff6bacef425a3af59f7e98ff2ca7f8b11a,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
STR-TMP-UNDEREXP,structural,Structural tampered / underexp,BLOCKED,tampered,underexp,Structural_Cases/STR-TMP-UNDEREXP.png,24567a1aabad4602d4887d34144c61d6f09c420dafcb1231aaa8a17147e056cd,e8d3c40f06826e73ceaacd92521374fddb09d963cc8e787f3611fb896eec375b,exact_app_crop/runtime_holdout_test; exposed production dataset; not independent,demo_only,False,Embeds a recorded exact QRGuard camera crop with the named condition; scan normally without adding another degradation.
SEM-01-SAFE-HTTPS,semantic_or_payload,SAFE HTTPS CONTROL,SAFE,clean,normal,Semantic_and_Payload_Cases/SEM-01-SAFE-HTTPS.png,c89f2abc9d345615b5cbd9753a33f8704e1180c1f8f24553311a60dfa5d9ca04,762eadb52a689b289e8e52b92b09e757328313409243f38d6861f093126d712c,post-production generated demo payload,demo_only,False,Clean image and reserved safe demonstration URL.
SEM-02-BRAND-PHISH,semantic_or_payload,BRAND IMPERSONATION,BLOCKED,clean,normal,Semantic_and_Payload_Cases/SEM-02-BRAND-PHISH.png,680985a0a07f1cea67da7034e56313757410810a79c8010efa017442710b08d6,5893b7f608c8534816c9eff784ca3970511bfc4c1088a479a7c0c08502302985,post-production generated demo payload,demo_only,False,Clean QR; Semantic branch must identify phishing-style URL risk.
SEM-03-RAW-IP,semantic_or_payload,RAW IP DESTINATION,BLOCKED,clean,normal,Semantic_and_Payload_Cases/SEM-03-RAW-IP.png,321cf447182df4a999a105370859a809222e2a8c4a689063e5e0633891dbcd92,1ec91c7c55fb28b8c7e2ac0bc96450652161766821fbc5f4291cb5f84f8079db,post-production generated demo payload,demo_only,False,Documentation-only IP range; no live destination.
SEM-04-PUNYCODE,semantic_or_payload,PUNYCODE LOOK-ALIKE,WARNING,clean,normal,Semantic_and_Payload_Cases/SEM-04-PUNYCODE.png,549cb7588526dcf4c5811188df27ec9e5a5a5e4f3365e9b8e89f8535c4bc17e4,1bca24778f77137140493b2aacf7cab7863e3cfb85fb18e771f7bbc0f7a65761,post-production generated demo payload,demo_only,False,Reserved invalid domain containing an IDN/punycode look-alike.
SEM-05-USERINFO,semantic_or_payload,USERINFO @ TRICK,BLOCKED,clean,normal,Semantic_and_Payload_Cases/SEM-05-USERINFO.png,d349dd7637935c25d6c822e3462b66d42f3e532c4b8026da28cc83e720e23ca8,9f501ab35195109d222498a301ebfc10f17922283ce8f9207075883ee8aaa907,post-production generated demo payload,demo_only,False,The real host follows the @ character.
SEM-06-DEEP-SUBDOMAINS,semantic_or_payload,EXCESSIVE SUBDOMAINS,BLOCKED,clean,normal,Semantic_and_Payload_Cases/SEM-06-DEEP-SUBDOMAINS.png,5f0f978a83e36c90a0ecb3e310d8c7cfd64ee90a06f4a8c75efda6eec2ab5c54,a598772816a0f3e1ad7c1b7c869cf183f01907e9df176c9d5ff5c8770110f59b,post-production generated demo payload,demo_only,False,Demonstrates suspicious URL nesting without a live destination.
SEM-07-SHORTENER,semantic_or_payload,SHORTENED URL,BLOCKED,clean,normal,Semantic_and_Payload_Cases/SEM-07-SHORTENER.png,1795bc684bab03427c7e6656fb0fedca8595c7d65b981e85152c533e0b2a95c8,55a7ea94d751c1c8ee9fea9f3d3a8aaeeb5b95d77ab3be34e33109e2a1da511f,post-production generated demo payload,demo_only,False,Do not open; scan only to demonstrate shortener handling.
SEM-08-JAVASCRIPT,semantic_or_payload,JAVASCRIPT URI,BLOCKED,clean,normal,Semantic_and_Payload_Cases/SEM-08-JAVASCRIPT.png,194864d745031286543379fc7899df7b737ef7c2466004667b33ab66330130a0,8559a7231b763a7e3fb2f7609c390060fb04d30433036a4eae51a4b54cc33811,post-production generated demo payload,demo_only,False,Executable payload hard-rule demonstration.
SEM-09-WIFI-OPEN,semantic_or_payload,OPEN WI-FI PAYLOAD,WARNING,clean,normal,Semantic_and_Payload_Cases/SEM-09-WIFI-OPEN.png,30a9c7a3cb9d1d50e020e22ad07ba37f717703ceb16d4001c4127771945e90a0,73ce05e6ef536a1fa5baa9882f94c1a22d0d1169a30c784654a8a8ea03fb324a,post-production generated demo payload,demo_only,False,Non-URL payload with an open-network warning floor.
SEM-10-WIFI-SECURE,semantic_or_payload,SECURE WI-FI PAYLOAD,SAFE,clean,normal,Semantic_and_Payload_Cases/SEM-10-WIFI-SECURE.png,a58c124072aa7363adc3354b09b068c94fc74c60db72a7aabba1048765a7d87f,0046c2d0ec6f5c714480ab29ce264512e2edb7cc65b27a26d5a62f44013c4900,post-production generated demo payload,demo_only,False,Recognised password-protected Wi-Fi payload; URL analysis is not applicable.
SEM-11-PLAIN-TEXT,semantic_or_payload,PLAIN TEXT PAYLOAD,SAFE,clean,normal,Semantic_and_Payload_Cases/SEM-11-PLAIN-TEXT.png,77c08242bc486c603a995108b1b7f2ac945f5b8acd01a3398abff030f568415e,4c8002e095d35a4062d9906eda5af166e701922470d46eddcf026e777d3db2cc,post-production generated demo payload,demo_only,False,Harmless non-URL text; URL analysis is correctly not applicable.
SEM-12-DUITNOW-DUMMY,semantic_or_payload,DUMMY DUITNOW P2P,SAFE,clean,normal,Semantic_and_Payload_Cases/SEM-12-DUITNOW-DUMMY.png,26c2289b8ce2a8bdc14da48c9d08dedf86aa3b1397997439e8b0d3fd3bd15480,a59a063865b1603e59ae2bbdef4ed5518d4718f87dfe9ed7779c28266300d042,post-production generated demo payload,demo_only,False,CRC-valid dummy DuitNow fixture; the payment app remains the confirmation boundary.
